	PatID	Archaea
SRR5970674	ST21	0
SRR5970675	ST21	0
SRR5970676	ST02	0
SRR5970677	ST02	0
SRR5970678	ST02	0
SRR5970679	ST01	0
SRR5970680	ST01	0
SRR5970681	SP08	0
SRR5970682	SP08	0
SRR5970683	ST07	0
SRR5970684	ST07	0
SRR5970685	ST21	0
SRR5970686	ST21	1
SRR5970687	ST02	0
SRR5970688	ST02	0
SRR5970689	ST02	1
SRR5970690	ST01	0
SRR5970691	ST01	0
SRR5970692	SP08	0
SRR5970693	SP08	1
SRR5970694	ST07	0
SRR5970695	ST07	0
SRR5970696	ST21	0
SRR5970698	ST02	0
SRR5970699	ST02	0
SRR5970700	ST01	0
SRR5970701	ST01	0
SRR5970702	ST01	0
SRR5970703	SP08	0
SRR5970704	SP08	1
SRR5970705	ST07	0
SRR5970706	ST07	0
SRR5970707	ST21	0
SRR5970709	ST02	0
SRR5970710	ST02	0
SRR5970711	ST01	1
SRR5970712	ST01	0
SRR5970713	SP08	0
SRR5970714	SP08	0
SRR5970715	ST07	0
SRR5970716	ST07	0
SRR5970717	ST21	0
SRR5970719	ST02	0
SRR5970720	ST02	0
SRR5970721	ST01	0
SRR5970722	ST01	0
SRR5970723	ST01	0
SRR5970724	SP08	0
SRR5970725	SP08	1
SRR5970726	ST07	0
SRR5970727	ST21	0
SRR5970728	ST21	0
SRR5970730	ST21	0
SRR5970731	ST15	0
SRR5970732	ST16	0
SRR5970733	ST16	0
SRR5970734	ST17	0
SRR5970735	ST17	0
SRR5970736	ST18	0
SRR5970737	ST22	0
SRR5970738	ST14	0
SRR5970739	ST19	0
SRR5970740	ST21	0
SRR5970741	ST15	1
SRR5970742	ST16	0
SRR5970743	ST16	0
SRR5970744	ST17	1
SRR5970745	ST17	0
SRR5970746	ST18	0
SRR5970747	ST22	0
SRR5970748	ST14	0
SRR5970749	ST19	0
SRR5970750	ST21	0
SRR5970751	ST15	0
SRR5970752	ST16	0
SRR5970753	ST16	1
SRR5970754	ST17	0
SRR5970755	ST18	0
SRR5970756	ST18	0
SRR5970757	ST22	0
SRR5970758	ST14	1
SRR5970759	ST19	0
SRR5970760	ST15	0
SRR5970761	ST15	0
SRR5970762	ST16	0
SRR5970763	ST16	0
SRR5970764	ST17	0
SRR5970765	ST18	0
SRR5970766	ST18	0
SRR5970767	ST22	0
SRR5970768	ST14	0
SRR5970769	ST19	0
SRR5970770	ST15	0
SRR5970771	ST15	0
SRR5970772	ST16	0
SRR5970773	ST16	0
SRR5970774	ST17	0
SRR5970775	ST18	0
SRR5970776	ST18	0
SRR5970777	ST22	0
SRR5970778	ST19	0
SRR5970779	ST19	0
SRR5970781	ST15	1
SRR5970782	ST15	0
SRR5970783	ST16	0
SRR5970784	ST16	0
SRR5970785	ST17	0
SRR5970786	ST18	0
SRR5970787	ST18	0
SRR5970788	ST22	0
SRR5970789	ST19	0
SRR5970790	ST19	0
SRR5970792	ST15	0
SRR5970793	ST15	0
SRR5970794	ST16	0
SRR5970795	ST17	0
SRR5970796	ST17	0
SRR5970797	ST18	0
SRR5970798	ST22	0
SRR5970799	ST22	0
SRR5970800	ST19	0
SRR5970802	ST15	0
SRR5970803	ST16	0
SRR5970804	ST16	1
SRR5970805	ST17	0
SRR5970806	ST17	0
SRR5970807	ST18	0
SRR5970808	ST22	0
SRR5970809	ST14	0
SRR5970810	ST19	0
SRR5970841	ST25	0
SRR5970842	ST07	0
SRR5970843	ST21	0
SRR5970844	ST03	0
SRR5970845	ST09	0
SRR5970846	ST03	0
SRR5970847	ST11	0
SRR5970848	ST13	0
SRR5970849	ST30	0
SRR5970850	ST30	0
SRR5970851	ST23	0
SRR5970852	ST13	0
SRR5970853	ST08	0
SRR5970854	ST04	0
SRR5970855	ST04	0
SRR5970856	ST21	0
SRR5970857	SP08	0
SRR5970858	ST11	0
SRR5970859	ST08	0
SRR5970860	ST30	0
SRR5970861	ST05	0
SRR5970862	ST09	0
SRR5970863	ST05	0
SRR5970864	ST13	0
SRR5970865	ST18	0
SRR5970866	SP03	0
SRR5970867	ST21	0
SRR5970868	ST13	0
SRR5970869	ST25	0
SRR5970870	ST27	0
SRR5970871	ST18	0
SRR5970872	ST19	0
SRR5970873	ST05	0
SRR5970874	ST05	0
SRR5970875	ST15	0
SRR5970876	ST27	0
SRR5970877	ST30	0
SRR5970878	ST23	0
SRR5970879	ST17	0
SRR5970880	SP08	0
SRR5970881	ST04	0
SRR5970882	ST05	0
SRR5970883	SP03	0
SRR5970884	ST07	0
SRR5970885	ST04	0
SRR5970886	ST03	0
SRR5970887	ST05	0
SRR5970888	ST30	0
SRR5970889	ST19	0
SRR5970890	ST25	0
SRR5970891	ST23	0
SRR5970892	ST15	0
SRR5970893	ST05	0
SRR5970894	ST01	0
SRR5970895	ST24	0
SRR5970896	ST30	0
SRR5970898	ST26	0
SRR5970899	ST08	0
SRR5970900	ST29	1
SRR5970901	ST26	0
SRR5970902	ST04	0
SRR5970903	ST29	0
SRR5970904	ST04	0
SRR5970905	ST25	0
SRR5970906	ST03	0
SRR5970907	ST05	0
SRR5970908	ST05	0
SRR5970910	ST26	0
SRR5970911	ST11	0
SRR5970912	ST05	0
SRR5970913	ST17	0
SRR5970914	ST05	0
SRR5970915	ST23	0
SRR5970916	ST13	0
SRR5970917	SP03	0
SRR5970918	ST12	0
SRR5970920	ST05	0
SRR5970921	ST23	0
SRR5970922	ST03	0
SRR5970923	ST28	0
SRR5970924	ST27	0
SRR5970925	ST04	0
SRR5970926	ST25	0
SRR5970927	ST03	0
SRR5970929	ST04	0
SRR5970930	ST25	0
SRR5970931	ST03	0
SRR5970932	ST25	0
SRR5970933	ST24	0
SRR5970934	SP03	0
SRR5970935	ST15	0
SRR5970936	ST05	0
SRR5970937	ST09	0
SRR5970938	ST27	0
SRR5970939	ST04	0
SRR5970940	ST30	0
SRR5970941	ST16	0
SRR5970942	ST04	0
SRR5970943	ST23	0
SRR5970944	ST25	0
SRR5970945	ST07	0
SRR5970946	ST24	0
SRR5970947	ST14	0
SRR5970948	ST08	0
SRR5970949	ST16	0
SRR5970950	ST21	0
SRR5970951	ST25	0
SRR5970952	ST09	0
SRR5970953	ST09	0
SRR5970954	ST03	0
SRR5970955	ST05	0
SRR5970956	ST16	0
SRR5970957	ST21	0
SRR5970958	ST15	0
SRR5970959	ST19	0
SRR5970960	ST05	0
SRR5970961	ST30	0
SRR5970962	ST14	0
SRR5970963	ST05	0
SRR5970964	SP03	0
SRR5970965	ST30	0
SRR5970966	ST05	0
SRR5970967	ST05	0
SRR5970968	ST14	0
SRR5970969	ST30	0
SRR5970970	ST25	0
SRR5970971	ST15	0
